,Metabolism,Value,SampleID,Plate
Water,control,0.9969,1,1
Pyruvic_acid_methyl_esther,ester,1.4464,1,1
Tween40,polymer,1.8678,1,1
Tween80,polymer,2.0785,1,1
alpha_cyclodextrin,polymer,1.6563,1,1
Glycogen,polymer,2.0827,1,1
D_cellobiose,carbohydrate,1.6807,1,1
alfa_D_Lactose,carbohydrate,2.1094,1,1
Beta_methyl_D_glucoside,carbohydrate,1.8135,1,1
D_xylose,carbohydrate,0.9265,1,1
I_Erytritol,carbohydrate,0.8438,1,1
D_Mannitol,carbohydrate,1.8971,1,1
N_acetyl_D_glucosamine,carbohydrate,1.8389,1,1
D_glucosaminic_acid,carboxylic_acid,2.2135,1,1
Glucose_1_phosphate,phosphorylated,2.1082,1,1
D_L_alpha_glycerol_phospate,phosphorylated,2.1008,1,1
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1181,1,1
D_galactouronic_acid,carboxylic_acid,1.9108,1,1
two_hydroxy_benzoic_Acid,carboxylic_acid,2.2641,1,1
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8894,1,1
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.9392,1,1
Itaconic_Acid,carboxylic_acid,1.811,1,1
alpha_keto_butyric_acid,carboxylic_acid,2.2106,1,1
D_malic_Acid,carboxylic_acid,1.6979,1,1
L_Arginine,aminoacid,1.9340000000000002,1,1
L_Asparagine,aminoacid,1.7590000000000001,1,1
L_phenylalanine,aminoacid,1.6256,1,1
L_serine,aminoacid,2.2924,1,1
L_threonine,aminoacid,2.2096,1,1
Glycyl_L_glutamic_Acid,aminoacid,1.4227,1,1
Phenylethyl_amine,amine,2.085,1,1
Putrescine,amine,1.9676,1,1
Water,control,0.8696,2,1
Pyruvic_acid_methyl_esther,ester,1.9821,2,1
Tween40,polymer,1.8867,2,1
Tween80,polymer,2.0053,2,1
alpha_cyclodextrin,polymer,1.6463,2,1
Glycogen,polymer,2.1988,2,1
D_cellobiose,carbohydrate,2.0551,2,1
alfa_D_Lactose,carbohydrate,2.2336,2,1
Beta_methyl_D_glucoside,carbohydrate,2.0624,2,1
D_xylose,carbohydrate,1.85,2,1
I_Erytritol,carbohydrate,1.5642,2,1
D_Mannitol,carbohydrate,2.0498,2,1
N_acetyl_D_glucosamine,carbohydrate,1.9229,2,1
D_glucosaminic_acid,carboxylic_acid,2.293,2,1
Glucose_1_phosphate,phosphorylated,2.0514,2,1
D_L_alpha_glycerol_phospate,phosphorylated,1.992,2,1
D_galactonic_acid_gama_lactone,carboxylic_acid,2.1854,2,1
D_galactouronic_acid,carboxylic_acid,2.0156,2,1
two_hydroxy_benzoic_Acid,carboxylic_acid,2.2892,2,1
four_hydroxy_benzoic_Acid,carboxylic_acid,1.8933,2,1
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.0246,2,1
Itaconic_Acid,carboxylic_acid,1.9242,2,1
alpha_keto_butyric_acid,carboxylic_acid,2.316,2,1
D_malic_Acid,carboxylic_acid,1.7596,2,1
L_Arginine,aminoacid,2.0287,2,1
L_Asparagine,aminoacid,1.6785,2,1
L_phenylalanine,aminoacid,1.7038,2,1
L_serine,aminoacid,2.2112,2,1
L_threonine,aminoacid,2.2127,2,1
Glycyl_L_glutamic_Acid,aminoacid,1.6640000000000001,2,1
Phenylethyl_amine,amine,2.0017,2,1
Putrescine,amine,2.1172,2,1
Water,control,1.1438,3,1
Pyruvic_acid_methyl_esther,ester,1.992,3,1
Tween40,polymer,1.8218,3,1
Tween80,polymer,1.9088,3,1
alpha_cyclodextrin,polymer,1.8402,3,1
Glycogen,polymer,1.9688,3,1
D_cellobiose,carbohydrate,1.867,3,1
alfa_D_Lactose,carbohydrate,1.9348,3,1
Beta_methyl_D_glucoside,carbohydrate,1.9995,3,1
D_xylose,carbohydrate,1.7602,3,1
I_Erytritol,carbohydrate,0.9048,3,1
D_Mannitol,carbohydrate,2.0038,3,1
N_acetyl_D_glucosamine,carbohydrate,1.8658,3,1
D_glucosaminic_acid,carboxylic_acid,2.2546,3,1
Glucose_1_phosphate,phosphorylated,2.1596,3,1
D_L_alpha_glycerol_phospate,phosphorylated,1.9229,3,1
D_galactonic_acid_gama_lactone,carboxylic_acid,2.0688,3,1
D_galactouronic_acid,carboxylic_acid,1.9789,3,1
two_hydroxy_benzoic_Acid,carboxylic_acid,2.0861,3,1
four_hydroxy_benzoic_Acid,carboxylic_acid,1.9033,3,1
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.854,3,1
Itaconic_Acid,carboxylic_acid,1.9959,3,1
alpha_keto_butyric_acid,carboxylic_acid,2.1579,3,1
D_malic_Acid,carboxylic_acid,1.829,3,1
L_Arginine,aminoacid,1.8756,3,1
L_Asparagine,aminoacid,1.6016,3,1
L_phenylalanine,aminoacid,1.9025,3,1
L_serine,aminoacid,2.1668,3,1
L_threonine,aminoacid,2.041,3,1
Glycyl_L_glutamic_Acid,aminoacid,1.54,3,1
Phenylethyl_amine,amine,1.9526,3,1
Putrescine,amine,2.0361,3,1
Water,control,1.1913,1,2
Pyruvic_acid_methyl_esther,ester,1.9054,1,2
Tween40,polymer,1.8747,1,2
Tween80,polymer,1.952,1,2
alpha_cyclodextrin,polymer,1.9992,1,2
Glycogen,polymer,2.3372,1,2
D_cellobiose,carbohydrate,1.8954,1,2
alfa_D_Lactose,carbohydrate,1.943,1,2
Beta_methyl_D_glucoside,carbohydrate,1.8404,1,2
D_xylose,carbohydrate,1.4394,1,2
I_Erytritol,carbohydrate,0.8311,1,2
D_Mannitol,carbohydrate,1.8768,1,2
N_acetyl_D_glucosamine,carbohydrate,1.7301,1,2
D_glucosaminic_acid,carboxylic_acid,2.1672,1,2
Glucose_1_phosphate,phosphorylated,2.3132,1,2
D_L_alpha_glycerol_phospate,phosphorylated,2.1024,1,2
D_galactonic_acid_gama_lactone,carboxylic_acid,1.7976,1,2
D_galactouronic_acid,carboxylic_acid,2.1314,1,2
two_hydroxy_benzoic_Acid,carboxylic_acid,2.3826,1,2
four_hydroxy_benzoic_Acid,carboxylic_acid,1.6116,1,2
Gamma_hydroxybutyric_Acid,carboxylic_acid,1.8622,1,2
Itaconic_Acid,carboxylic_acid,1.9069,1,2
alpha_keto_butyric_acid,carboxylic_acid,1.6337,1,2
D_malic_Acid,carboxylic_acid,1.6339,1,2
L_Arginine,aminoacid,2.0553,1,2
L_Asparagine,aminoacid,1.713,1,2
L_phenylalanine,aminoacid,1.6631,1,2
L_serine,aminoacid,1.8022,1,2
L_threonine,aminoacid,2.2915,1,2
Glycyl_L_glutamic_Acid,aminoacid,1.3980000000000001,1,2
Phenylethyl_amine,amine,1.6096,1,2
Putrescine,amine,2.1458,1,2
Water,control,1.4807,2,2
Pyruvic_acid_methyl_esther,ester,2.1464,2,2
Tween40,polymer,2.2014,2,2
Tween80,polymer,2.386,2,2
alpha_cyclodextrin,polymer,2.1483,2,2
Glycogen,polymer,2.475,2,2
D_cellobiose,carbohydrate,2.2616,2,2
alfa_D_Lactose,carbohydrate,2.3739,2,2
Beta_methyl_D_glucoside,carbohydrate,2.1566,2,2
D_xylose,carbohydrate,2.1416,2,2
I_Erytritol,carbohydrate,2.1837,2,2
D_Mannitol,carbohydrate,2.2578,2,2
N_acetyl_D_glucosamine,carbohydrate,2.2225,2,2
D_glucosaminic_acid,carboxylic_acid,2.5975,2,2
Glucose_1_phosphate,phosphorylated,2.3978,2,2
D_L_alpha_glycerol_phospate,phosphorylated,2.2233,2,2
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4878,2,2
D_galactouronic_acid,carboxylic_acid,2.3659,2,2
two_hydroxy_benzoic_Acid,carboxylic_acid,2.4735,2,2
four_hydroxy_benzoic_Acid,carboxylic_acid,2.4743,2,2
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.3194,2,2
Itaconic_Acid,carboxylic_acid,2.2408,2,2
alpha_keto_butyric_acid,carboxylic_acid,2.5437,2,2
D_malic_Acid,carboxylic_acid,2.0236,2,2
L_Arginine,aminoacid,2.3254,2,2
L_Asparagine,aminoacid,2.021,2,2
L_phenylalanine,aminoacid,1.9405,2,2
L_serine,aminoacid,2.5664,2,2
L_threonine,aminoacid,2.3579,2,2
Glycyl_L_glutamic_Acid,aminoacid,1.9786,2,2
Phenylethyl_amine,amine,2.237,2,2
Putrescine,amine,2.3615,2,2
Water,control,1.5777,3,2
Pyruvic_acid_methyl_esther,ester,2.1085,3,2
Tween40,polymer,2.0874,3,2
Tween80,polymer,2.1453,3,2
alpha_cyclodextrin,polymer,2.0335,3,2
Glycogen,polymer,2.362,3,2
D_cellobiose,carbohydrate,2.0619,3,2
alfa_D_Lactose,carbohydrate,2.105,3,2
Beta_methyl_D_glucoside,carbohydrate,2.4064,3,2
D_xylose,carbohydrate,1.9024,3,2
I_Erytritol,carbohydrate,2.0731,3,2
D_Mannitol,carbohydrate,2.1329,3,2
N_acetyl_D_glucosamine,carbohydrate,1.8606,3,2
D_glucosaminic_acid,carboxylic_acid,2.3713,3,2
Glucose_1_phosphate,phosphorylated,2.3195,3,2
D_L_alpha_glycerol_phospate,phosphorylated,2.104,3,2
D_galactonic_acid_gama_lactone,carboxylic_acid,2.4077,3,2
D_galactouronic_acid,carboxylic_acid,2.1767,3,2
two_hydroxy_benzoic_Acid,carboxylic_acid,2.347,3,2
four_hydroxy_benzoic_Acid,carboxylic_acid,2.0026,3,2
Gamma_hydroxybutyric_Acid,carboxylic_acid,2.1196,3,2
Itaconic_Acid,carboxylic_acid,2.04,3,2
alpha_keto_butyric_acid,carboxylic_acid,2.4849,3,2
D_malic_Acid,carboxylic_acid,1.8706,3,2
L_Arginine,aminoacid,2.1138,3,2
L_Asparagine,aminoacid,1.9580000000000002,3,2
L_phenylalanine,aminoacid,1.724,3,2
L_serine,aminoacid,2.3141,3,2
L_threonine,aminoacid,2.2217,3,2
Glycyl_L_glutamic_Acid,aminoacid,1.8136,3,2
Phenylethyl_amine,amine,2.0286,3,2
Putrescine,amine,2.228,3,2
